Name,Location,Rating,Contact
Ageless Skin Rejuvenation Med-Spa,"3352 Princess Anne Rd, Virginia Beach, VA, 23456",5.0,+17577071231
Ksenia's Skin Care and Waxing Salon,"1642 Pleasure House Rd, Virginia Beach, VA, 23455",5.0,+17578804489
Smooth,"215 E City Hall Ave, Norfolk, VA, 23510",4.5,+17576033046
Purity Skin Spa & Wax Studio,"5312 Providence Rd, Virginia Beach, VA, 23464",5.0,+17576320550
Skin2o MedSpa,"5833 Harbour View Blvd, Suffolk, VA, 23435",5.0,+17577745180
The Ageless Face By Cheryl,"1856 Colonial Medical Ct, Virginia Beach, VA, 23454",5.0,+17578391803
Braziliant,"1333 Harpers Rd, Virginia Beach, VA, 23454",5.0,+17575813161
Janice's Brow Bar,"515 N Birdneck Rd, Virginia Beach, VA, 23451",5.0,+17575003066
La Bella Chic Salon & Blow-Dry Bar,"1501 Cedar Rd, Chesapeake, VA, 23322",4.0,+17574108588
Illuminate Beauty Boutique,"400 W Olney Rd, Norfolk, VA, 23507",4.0,+17572758455
Green Leaf & Pebble Tea Spa,"529 N Great Neck Rd, Virginia Beach, VA, 23454",5.0,+17574630091
Heidi Lavan Esthetics,"3312 Princess Anne Rd, Virginia Beach, VA, 23456",5.0,+17575243838
Escape Esthetics,"615 N Birdneck Rd, Virginia Beach, VA, 23451",5.0,+17573278140
Emily Anne Esthetics,"372 S Independence Blvd, Virginia Beach, VA, 23452",5.0,+17577444218
Viva Skin Spa,"1801 Pleasure House Rd, Virginia Beach, VA, 23455",5.0,+17576762106
Pure Clinical Skin Care,"700 Independence Cir, Virginia Beach, VA, 23455",5.0,+17573904404
Vogue Lashes & Spa,"2033 Fisher Arch, Virginia Beach, VA, 23456",4.5,+17577523895
Numa Spa,"703 Thimble Shoals Blvd, Newport News, VA, 23606",4.5,+17572235800
Sugar and Skin Spa,"3580 Forest Haven Ln, Chesapeake, VA, 23321",5.0,+17575756200
Antidote Skin Lab,"813 Diligence Dr, Newport News, VA, 23606",5.0,+14077559353
La Bella Salon & Day  Spa,"404 Wythe Creek Rd, Poquoson, VA, 23662",4.5,+17576590115
